benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/1144_GHSA-4vvp-x9h2-x2vf/public-0.1.5/bin/public,CWE-22,Exited 0,26.550175,0.000146,26.5842,false,
/bench/results/res-20240929T012449/CWE-22/445_GHSA-vgjp-vh3c-32v3/mockserve-2.0.6/mock.js,CWE-22,Exited 2,0.,0.,0.0315199,false,
/bench/results/res-20240929T012449/CWE-22/25_GHSA-44g9-w23c-5rw7/nhouston-2.0.2/lib/server.js,CWE-22,Exited 0,44.070022,1.896349,46.0142,true,
/bench/results/res-20240929T012449/CWE-22/414_GHSA-mwj7-r5vc-hmc9/hcbserver-1.0.0/index.js,CWE-22,Exited 0,33.62098,0.00014,33.656,false,
/bench/results/res-20240929T012449/CWE-22/1335_GHSA-qccf-q7p4-3q3j/safe-object2-1.0.3/index.js,CWE-22,Exited 0,29.155692,0.000127,29.1918,false,
/bench/results/res-20240929T012449/CWE-22/339_GHSA-cqv6-7fwc-8m3c/xtalk-0.0.7/index.js,CWE-22,Exited 0,49.691072,2.441025,52.1769,true,
/bench/results/res-20240929T012449/CWE-22/437_GHSA-jjgw-jf33-7fg9/mfrs-1.0.0/index.js,CWE-22,Exited 0,33.778622,8.9e-05,33.8086,false,
/bench/results/res-20240929T012449/CWE-22/1519_GHSA-9h4g-27m8-qjrg/socket.io-file-2.0.31/index.js,CWE-22,Exited 0,30.398506,9.4e-05,30.4293,false,
/bench/results/res-20240929T012449/CWE-22/434_GHSA-cxwc-8pqp-2whw/qinserve-1.0.0/index.js,CWE-22,Exited 0,33.478989,8.8e-05,33.5143,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-xr8h-53xr-jhcm/marked-tree-0.8.1/index.js,CWE-22,Exited 0,34.292195,0.000114,34.328,false,
/bench/results/res-20240929T012449/CWE-22/400_GHSA-c3h5-qchh-46hh/yyooopack-3.0.0/src/node.js,CWE-22,Exited 2,0.,0.,0.031244,false,
