benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/google-cloudstorage-commands/google-cloudstorage-commands-0.0.1_NodeMedic,CWE-78,Exited 0,14.182,15.216,38.865124209,true,false,
results/nodemedic/20240906-secbench/pdfinfojs/pdfinfojs-0.3.6_NodeMedic,CWE-78,Exited 0,0.,0.,24.479032648,false,false,
results/nodemedic/20240906-secbench/fbr-client/fbr-client-1.0.3_NodeMedic,CWE-22,Exited 0,0.,0.,22.647512767,false,false,
results/nodemedic/20240906-secbench/zs123/zs123-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.650308876,false,false,
results/nodemedic/20240906-secbench/zxyserver/zxyserver-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.359857499,false,false,
results/nodemedic/20240906-secbench/field/field-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.594252425,false,false,
results/nodemedic/20240906-secbench/compass-compile/compass-compile-0.0.1_NodeMedic,CWE-78,Exited 0,0.,0.,15.657903666,false,false,
results/nodemedic/20240906-secbench/pidusage/pidusage-1.0.0_NodeMedic,CWE-78,Exited 0,0.,0.,8.582885375,false,false,
results/nodemedic/20240906-secbench/merge/merge-2.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.104848996,false,false,
results/nodemedic/20240906-secbench/22lixian/22lixian-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,7.949474009,false,false,
results/nodemedic/20240906-secbench/serverwzl/serverwzl-1.3.1_NodeMedic,CWE-22,Exited 0,0.,0.,8.729970804,false,false,
results/nodemedic/20240906-secbench/node-ps/node-ps-0.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,8.618778183,false,false,
results/nodemedic/20240906-secbench/flat/flat-5.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,25.817187728,false,false,
results/nodemedic/20240906-secbench/exxxxxxxxxxx/exxxxxxxxxxx-1.0.2_NodeMedic,CWE-22,Exited 0,0.,0.,12.621969427,false,false,
results/nodemedic/20240906-secbench/ps-visitor/ps-visitor-0.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,9.230852393,false,false,
results/nodemedic/20240906-secbench/node-oojs/node-oojs-1.4.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.433549121,false,false,
results/nodemedic/20240906-secbench/property-expr/property-expr-2.0.2_NodeMedic,CWE-471,Exited 0,120.058,0.,130.668244159,false,false,
results/nodemedic/20240906-secbench/putil-merge/putil-merge-3.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.892392811,false,false,
results/nodemedic/20240906-secbench/confucious/confucious-0.0.12_NodeMedic,CWE-471,Exited 0,0.,0.,9.136945632,false,false,
results/nodemedic/20240906-secbench/curling/curling-0.2.0_NodeMedic,CWE-78,Exited 0,7.81,10.178,36.23173419,true,false,
results/nodemedic/20240906-secbench/lycwed-spritesheetjs/lycwed-spritesheetjs-1.2.5_NodeMedic,CWE-78,Exited 0,0.,0.,24.822805541,false,false,
results/nodemedic/20240906-secbench/tinyserver2/tinyserver2-0.5.2_NodeMedic,CWE-22,Exited 0,0.,0.,13.586888473,false,false,
results/nodemedic/20240906-secbench/wc-cmd/wc-cmd-1.0.9_NodeMedic,CWE-78,Exited 0,0.,0.,10.548464833,false,false,
results/nodemedic/20240906-secbench/just-safe-set/just-safe-set-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.473827884,false,false,
results/nodemedic/20240906-secbench/thi.ng-egf/thi.ng-egf-0.3.0_NodeMedic,CWE-78,Exited 0,0.,0.,9.300596778,false,false,
results/nodemedic/20240906-secbench/phpjs/phpjs-1.3.2_NodeMedic,CWE-471,Exited 0,0.,0.,8.77863102,false,false,
results/nodemedic/20240906-secbench/nis-utils/nis-utils-0.6.10_NodeMedic,CWE-471,Exited 0,0.,0.,17.675015601,false,false,
results/nodemedic/20240906-secbench/yargs-parser/yargs-parser-6.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.657261281,false,false,
results/nodemedic/20240906-secbench/monorepo-build/monorepo-build-0.1.9_NodeMedic,CWE-78,Exited 0,0.,0.,29.795333254,false,false,
